PID,Date,Secret date,,,,,,
rekl:83168,1929-11,1929-11-18,https://digital.lib.calpoly.edu/rekl-83168,,,,,
rekl:83265,1929-12,1929-12-12,https://digital.lib.calpoly.edu/rekl-83265,,,,,
rekl:84235,1931-01,1931-01-31,https://digital.lib.calpoly.edu/rekl-84235,,,,,
rekl:84966,1931-12,x,https://digital.lib.calpoly.edu/rekl-84966,,,,,
rekl:84963,1931-12,x,https://digital.lib.calpoly.edu/rekl-84963,,,,,
rekl:84960,1931-12,x,https://digital.lib.calpoly.edu/rekl-84960,,,,,
rekl:85066,1932-02,1932-02-26,https://digital.lib.calpoly.edu/rekl-85066,,,,,
rekl:85121,1932-03,1932-03-05,https://digital.lib.calpoly.edu/rekl-85121,,,,,
rekl:85260,1932-06,1932-06-04,https://digital.lib.calpoly.edu/rekl-85260,,,,,
rekl:87462,1933-05,1933-05-02,https://digital.lib.calpoly.edu/rekl-87462,,,,,
rekl:87458,1933-05,1933-05-01,https://digital.lib.calpoly.edu/rekl-87458,,,,,
rekl:87472,1933-06,1933-06-10,https://digital.lib.calpoly.edu/rekl-87472,,,,,
rekl:87496,1933-08,1933-08-19,https://digital.lib.calpoly.edu/rekl-87496,,,,,
rekl:87815,1934-05,1934-05-22,https://digital.lib.calpoly.edu/rekl-87815,,,,,
rekl:88013,1935-03,1935-03-10,https://digital.lib.calpoly.edu/rekl-88013,,,,,
rekl:88245,1936-06,1936-06-20,https://digital.lib.calpoly.edu/rekl-88245,,,,,
rekl:88275,1936-07,1936-07-31,https://digital.lib.calpoly.edu/rekl-88275,,,,,
rekl:88269,1936-07,1936-07-29,https://digital.lib.calpoly.edu/rekl-88269,,,,,
rekl:88281,1936-08,1936-08-06,https://digital.lib.calpoly.edu/rekl-88281,,,,,
rekl:88320,1936-11,1936-11-14,https://digital.lib.calpoly.edu/rekl-88320,,,,,
rekl:90988,1938-05,x,https://digital.lib.calpoly.edu/rekl-90988,,,,,Not part of the correspondence
rekl:9203,circa 1922,1922-01-13,https://digital.lib.calpoly.edu/rekl-9203,,,,,
rekl:10385,circa 1922-05,1922-05-06,https://digital.lib.calpoly.edu/rekl-10385,,,,,
rekl:28593,circa 1927,1927-09-12,https://digital.lib.calpoly.edu/rekl-28593,,,,,
rekl:28558,circa 1927,1927-08-31,https://digital.lib.calpoly.edu/rekl-28558,,,,,
rekl:28790,circa 1927,1927-11-20,https://digital.lib.calpoly.edu/rekl-28790,,,,,
rekl:28814,circa 1927,1927-11-29,https://digital.lib.calpoly.edu/rekl-28814,,,,,
rekl:52375,circa 1927,x,https://digital.lib.calpoly.edu/rekl-52375,,,,,
rekl:84417,circa 1928,1928-06-05,https://digital.lib.calpoly.edu/rekl-84417,,,,,
rekl:81556,circa 1928,1928-07-14,https://digital.lib.calpoly.edu/rekl-81556,,,,,
rekl:78501,circa 1928,1928-05-30,https://digital.lib.calpoly.edu/rekl-78501,,,,,
rekl:81578,circa 1928,1928-07-30,https://digital.lib.calpoly.edu/rekl-81578,,,,,
rekl:81730,circa 1928,1928-11-16,https://digital.lib.calpoly.edu/rekl-81730,,,,,
rekl:74133,circa 1928,1928-02-17,https://digital.lib.calpoly.edu/rekl-74133,,,,,
rekl:52524,circa 1928,1928-01-20,https://digital.lib.calpoly.edu/rekl-52524,,,,,
rekl:81901,circa 1929,1929-03-12,https://digital.lib.calpoly.edu/rekl-81901,,,,,
rekl:82767,circa 1929,1929-10-08,https://digital.lib.calpoly.edu/rekl-82767,,,,,
rekl:82076,circa 1929,1929-07-31,https://digital.lib.calpoly.edu/rekl-82076,,,,,
rekl:82079,circa 1929,1929-08-01,https://digital.lib.calpoly.edu/rekl-82079,,,,,
rekl:83921,circa 1930,1930-05-31,https://digital.lib.calpoly.edu/rekl-83921,,,,,
rekl:83992,circa 1930,1930-07-11,https://digital.lib.calpoly.edu/rekl-83992,,,,,
rekl:83532,circa 1930,1930-03-13,https://digital.lib.calpoly.edu/rekl-83532,,,,,
rekl:83409,circa 1930,1930-02-01,https://digital.lib.calpoly.edu/rekl-83409,,,,,
rekl:84138,circa 1930,1930-11-21,https://digital.lib.calpoly.edu/rekl-84138,,,,,
rekl:84509,circa 1931,1931-08-10,https://digital.lib.calpoly.edu/rekl-84509,,,,,
rekl:84564,circa 1931,1931-10-27,https://digital.lib.calpoly.edu/rekl-84564,,,,,
rekl:84969,circa 1931,1931-12-30,https://digital.lib.calpoly.edu/rekl-84969,,,,,
rekl:85603,circa 1932,1932-09-30,https://digital.lib.calpoly.edu/rekl-85603,,,,,
rekl:85115,circa 1932,1932-02-28,https://digital.lib.calpoly.edu/rekl-85115,,,,,
rekl:87514,circa 1933,1933-09-01,https://digital.lib.calpoly.edu/rekl-87514,,,,,
rekl:87499,circa 1933,1933-08-18,https://digital.lib.calpoly.edu/rekl-87499,,,,,
rekl:90630,circa 1940,1940-06-29,https://digital.lib.calpoly.edu/rekl-90630,,,,,
islandora:943,NONE,1919-09-30,https://digital.lib.calpoly.edu/islandora-943,,,,,
rekl:10638,NONE,1922-05-16,https://digital.lib.calpoly.edu/rekl-10638,,,,,
rekl:9231,NONE,1922-01-19,https://digital.lib.calpoly.edu/rekl-9231,,,,,
rekl:9066,NONE,1921-12-11,https://digital.lib.calpoly.edu/rekl-9066,,,,,
rekl:14695,NONE,1925-06-15,https://digital.lib.calpoly.edu/rekl-14695,,,,,
rekl:9099,NONE,1921-12-21,https://digital.lib.calpoly.edu/rekl-9099,,,,,
rekl:8862,NONE,1921-09-10,https://digital.lib.calpoly.edu/rekl-8862,,,,,
rekl:8451,NONE,1921-07-27,https://digital.lib.calpoly.edu/rekl-8451,,,,,
rekl:9214,NONE,1922-01-16,https://digital.lib.calpoly.edu/rekl-9214,,,,,
rekl:10402,NONE,1922-05-12,https://digital.lib.calpoly.edu/rekl-10402,,,,,
rekl:9038,NONE,1921-12-06,https://digital.lib.calpoly.edu/rekl-9038,,,,,
rekl:81690,NONE,1928-10-30,https://digital.lib.calpoly.edu/rekl-81690,,,,,
islandora:950,NONE,1919-09-30,https://digital.lib.calpoly.edu/islandora-950,,,,,
rekl:15721,NONE,1926-06-07,https://digital.lib.calpoly.edu/rekl-15721,,,,,
rekl:9276,NONE,1922-02-09,https://digital.lib.calpoly.edu/rekl-9276,,,,,
rekl:8418,NONE,1921-07-18,https://digital.lib.calpoly.edu/rekl-8418,,,,,
rekl:8882,NONE,1921-09-16,https://digital.lib.calpoly.edu/rekl-8882,,,,,
rekl:84657,NONE,1931-12-07,https://digital.lib.calpoly.edu/rekl-84657,,,,,
rekl:90942,NONE,x,https://digital.lib.calpoly.edu/rekl-90942,,,,,
rekl:90954,NONE,x,https://digital.lib.calpoly.edu/rekl-90954,,,,,
rekl:90935,NONE,1928-03-31,https://digital.lib.calpoly.edu/rekl-90935,,,,,
rekl:90960,NONE,x,https://digital.lib.calpoly.edu/rekl-90960,,,,,
rekl:90966,NONE,x,https://digital.lib.calpoly.edu/rekl-90966,,,,,
rekl:90963,NONE,x,https://digital.lib.calpoly.edu/rekl-90963,,,,,
rekl:90977,NONE,x,https://digital.lib.calpoly.edu/rekl-90977,,,,,
rekl:90929,NONE,x,https://digital.lib.calpoly.edu/rekl-90929,,,,,
rekl:90951,NONE,x,https://digital.lib.calpoly.edu/rekl-90951,,,,,
rekl:90895,NONE,x,https://digital.lib.calpoly.edu/rekl-90895,,,,,
rekl:90957,NONE,x,https://digital.lib.calpoly.edu/rekl-90957,,,,,
rekl:90882,NONE,x,https://digital.lib.calpoly.edu/rekl-90882,,,,,
rekl:90910,NONE,x,https://digital.lib.calpoly.edu/rekl-90910,,,,,
rekl:90932,NONE,x,https://digital.lib.calpoly.edu/rekl-90932,,,,,
rekl:90922,NONE,x,https://digital.lib.calpoly.edu/rekl-90922,,,,,
rekl:90926,NONE,x,https://digital.lib.calpoly.edu/rekl-90926,,,,,
rekl:90948,NONE,x,https://digital.lib.calpoly.edu/rekl-90948,,,,,
rekl:90916,NONE,x,https://digital.lib.calpoly.edu/rekl-90916,,,,,
rekl:90889,NONE,x,https://digital.lib.calpoly.edu/rekl-90889,,,,,
rekl:90907,NONE,x,https://digital.lib.calpoly.edu/rekl-90907,,,,,
rekl:90919,NONE,x,https://digital.lib.calpoly.edu/rekl-90919,,,,,
rekl:90902,NONE,x,https://digital.lib.calpoly.edu/rekl-90902,,,,,
rekl:90877,NONE,x,https://digital.lib.calpoly.edu/rekl-90877,,,,,
rekl:90898,NONE,x,https://digital.lib.calpoly.edu/rekl-90898,,,,,
rekl:90969,NONE,x,https://digital.lib.calpoly.edu/rekl-90969,,,,,
rekl:90945,NONE,x,https://digital.lib.calpoly.edu/rekl-90945,,,,,
rekl:90938,NONE,x,https://digital.lib.calpoly.edu/rekl-90938,,,,,
